env,city,pedigree,gen,replicate,block,planted,harvested,anthesis,grain_yield,plant_height,ear_height
COH1,Fort Collins,B73/PHN82,G1,1,1,5/24/2023,11/7/2023,97,218.2017891,,
COH1,Fort Collins,LH244/MO17,G2,1,1,5/24/2023,11/7/2023,97,200.0931232,,
COH1,Fort Collins,PHG29/PHG47,G3,1,1,5/24/2023,11/7/2023,78,261.3729959,,
COH1,Fort Collins,LH195/PHN82,G4,1,1,5/24/2023,11/7/2023,97,213.6521506,,
COH1,Fort Collins,PHJ89/PH207,G5,1,1,5/24/2023,11/7/2023,78,225.0755228,,
COH1,Fort Collins,LH244/PHZ51,G6,1,1,5/24/2023,11/7/2023,97,152.0907006,,
COH1,Fort Collins,B73/PHZ51,G7,1,1,5/24/2023,11/7/2023,97,178.3553598,,
COH1,Fort Collins,PHJ40/PHAJ0,G8,1,1,5/24/2023,11/7/2023,92,161.9545681,,
COH1,Fort Collins,PHB47/PHN82,G9,1,1,5/24/2023,11/7/2023,78,215.8744448,,
COH1,Fort Collins,LH195/PHZ51,G10,1,1,5/24/2023,11/7/2023,97,169.6762826,,
COH1,Fort Collins,LH195/PHK76,G11,1,1,5/24/2023,11/7/2023,97,185.5680692,,
COH1,Fort Collins,PHRE1/PHTD5,G12,1,1,5/24/2023,11/7/2023,78,206.3907066,,
COH1,Fort Collins,PHB47/PHK76,G13,1,1,5/24/2023,11/7/2023,78,224.7203023,,
COH1,Fort Collins,B73/PHK76,G14,1,1,5/24/2023,11/7/2023,78,219.430982,,
COH1,Fort Collins,LH244/PHN82,G15,1,1,5/24/2023,11/7/2023,97,162.1105186,,
COH1,Fort Collins,LH244/PHK76,G16,1,1,5/24/2023,11/7/2023,97,209.8530237,,
COH1,Fort Collins,B73/MO17,G17,1,1,5/24/2023,11/7/2023,89,200.3227169,,
COH1,Fort Collins,PHB47/PHZ51,G18,1,1,5/24/2023,11/7/2023,89,199.2646363,,
COH1,Fort Collins,LH145/LH82,G19,1,1,5/24/2023,11/7/2023,76,214.4362349,,
COH1,Fort Collins,LH195/MO17,G20,1,1,5/24/2023,11/7/2023,89,145.3718343,,
COH1,Fort Collins,LH195/PHK76,G11,2,2,5/24/2023,11/7/2023,89,82.23593436,,
COH1,Fort Collins,PHJ89/PH207,G5,2,2,5/24/2023,11/7/2023,76,95.60089006,,
COH1,Fort Collins,PHB47/PHN82,G9,2,2,5/24/2023,11/7/2023,76,76.63178907,,
COH1,Fort Collins,LH145/LH82,G19,2,2,5/24/2023,11/7/2023,76,88.28356382,,
COH1,Fort Collins,LH195/PHZ51,G10,2,2,5/24/2023,11/7/2023,76,71.31615216,,
COH1,Fort Collins,PHG29/PHG47,G3,2,2,5/24/2023,11/7/2023,76,81.05493441,,
COH1,Fort Collins,LH244/PHZ51,G6,2,2,5/24/2023,11/7/2023,78,55.84933062,,
COH1,Fort Collins,B73/PHN82,G1,2,2,5/24/2023,11/7/2023,89,77.07960519,,
COH1,Fort Collins,B73/PHZ51,G7,2,2,5/24/2023,11/7/2023,89,69.31652051,,
COH1,Fort Collins,PHB47/PHK76,G13,2,2,5/24/2023,11/7/2023,76,53.97272657,,
COH1,Fort Collins,PHJ40/PHAJ0,G8,2,2,5/24/2023,11/7/2023,76,47.75983293,,
COH1,Fort Collins,LH195/MO17,G20,2,2,5/24/2023,11/7/2023,89,42.70259729,,
COH1,Fort Collins,LH244/MO17,G2,2,2,5/24/2023,11/7/2023,89,49.52012391,,
COH1,Fort Collins,LH195/PHN82,G4,2,2,5/24/2023,11/7/2023,89,91.09023917,,
COH1,Fort Collins,PHRE1/PHTD5,G12,2,2,5/24/2023,11/7/2023,76,68.24046223,,
COH1,Fort Collins,LH244/PHN82,G15,2,2,5/24/2023,11/7/2023,76,99.37294217,,
COH1,Fort Collins,B73/PHK76,G14,2,2,5/24/2023,11/7/2023,78,85.75110139,,
COH1,Fort Collins,PHB47/PHZ51,G18,2,2,5/24/2023,11/7/2023,78,58.4072433,,
COH1,Fort Collins,LH244/PHK76,G16,2,2,5/24/2023,11/7/2023,78,70.66939088,,
COH1,Fort Collins,B73/MO17,G17,2,2,5/24/2023,11/7/2023,78,71.91266272,,
COH1,Fort Collins,B73/PHN82,G1,3,3,5/24/2023,11/7/2023,89,262.8285336,,
COH1,Fort Collins,LH244/MO17,G2,3,3,5/24/2023,11/7/2023,97,188.1726587,,
COH1,Fort Collins,PHG29/PHG47,G3,3,3,5/24/2023,11/7/2023,76,214.0561056,,
COH1,Fort Collins,LH195/PHN82,G4,3,3,5/24/2023,11/7/2023,89,205.4972403,,
COH1,Fort Collins,PHJ89/PH207,G5,3,3,5/24/2023,11/7/2023,76,192.7937746,,
COH1,Fort Collins,LH244/PHZ51,G6,3,3,5/24/2023,11/7/2023,97,138.7082005,,
COH1,Fort Collins,B73/PHZ51,G7,3,3,5/24/2023,11/7/2023,97,137.3382189,,
COH1,Fort Collins,PHJ40/PHAJ0,G8,3,3,5/24/2023,11/7/2023,70,144.8660783,,
COH1,Fort Collins,PHB47/PHN82,G9,3,3,5/24/2023,11/7/2023,76,215.4065934,,
COH1,Fort Collins,LH195/PHZ51,G10,3,3,5/24/2023,11/7/2023,89,218.7660266,,
COH1,Fort Collins,LH195/PHK76,G11,3,3,5/24/2023,11/7/2023,97,211.149362,,
COH1,Fort Collins,PHRE1/PHTD5,G12,3,3,5/24/2023,11/7/2023,70,201.6114743,,
COH1,Fort Collins,PHB47/PHK76,G13,3,3,5/24/2023,11/7/2023,76,197.039093,,
COH1,Fort Collins,B73/PHK76,G14,3,3,5/24/2023,11/7/2023,76,190.3678783,,
COH1,Fort Collins,LH244/PHN82,G15,3,3,5/24/2023,11/7/2023,89,181.4602904,,
COH1,Fort Collins,LH244/PHK76,G16,3,3,5/24/2023,11/7/2023,76,193.6016847,,
COH1,Fort Collins,B73/MO17,G17,3,3,5/24/2023,11/7/2023,97,147.4121864,,
COH1,Fort Collins,PHB47/PHZ51,G18,3,3,5/24/2023,11/7/2023,76,166.4089036,,
COH1,Fort Collins,LH145/LH82,G19,3,3,5/24/2023,11/7/2023,70,196.9849436,,
COH1,Fort Collins,LH195/MO17,G20,3,3,5/24/2023,11/7/2023,89,160.2109552,,
COH1,Fort Collins,LH195/PHK76,G11,4,4,5/24/2023,11/7/2023,76,51.49094804,,
COH1,Fort Collins,PHJ89/PH207,G5,4,4,5/24/2023,11/7/2023,89,171.480543,,
COH1,Fort Collins,PHB47/PHN82,G9,4,4,5/24/2023,11/7/2023,76,125.8173776,,
