env,city,state,lat,lon,planted,harvested
NCH1,Clayton,NC,35.6507,-78.4564,2023-04-17,2023-09-21
TXH1,College Station,TX,30.628,-96.3344,2023-03-01,2023-07-26
MOH1,Columbia,MO,38.9517,-92.3341,2023-05-24,2023-11-08
COH1,Fort Collins,CO,40.5853,-105.0844,2023-05-24,2023-11-07
WIH3,Hancock,WI,44.1328,-89.524,2023-04-26,2023-11-14
TXH4,Lubbock,TX,33.5779,-101.8552,2023-05-12,2023-11-20
SCH1,Pendleton,OR,45.6721,-118.7886,2023-05-06,2023-09-20
MNH1,Saint Paul,MN,44.9537,-93.09,2023-05-17,2023-11-14
ILH1,Urbana,IL,40.1106,-88.2072,2023-05-03,2023-10-02
INH1,West Lafayette,IN,40.4259,-86.9081,2023-05-04,2023-10-17
